latitude,longitude,NDVI,Temperature,Precipitation,Humidity,Windspeed,is_fire,Year,Month,Day
34.387146,-2.7515056,1883.0,23.944445,0.0,62.6,11.3,1.0,2013,9,2
33.054344,-4.527811,1252.0,26.555557,0.0,48.2,4.5,0.0,2020,7,17
34.598328,-2.3459067,1612.0,26.38889,0.0,45.8,6.6,1.0,2018,7,26
34.020824,-5.606973,3434.0,11.111111,0.39,47.6,3.5,0.0,2014,12,18
34.77555,-2.2621953,3165.0,23.777779,0.0,60.9,7.8,0.0,2016,6,23
35.119434,-5.43892,4996.0,33.055557,0.0,59.5,4.4,1.0,2021,8,16
33.367992,-7.746027,6297.0,11.222222,0.0,48.1,4.0,1.0,2019,2,21
35.458576,-5.223927,4790.0,20.111109,0.0,50.5,8.3,1.0,2016,5,16
33.764637,-4.4728274,3380.0,13.222222,0.0,43.3,4.9,0.0,2021,2,3
31.137678,-4.5766115,854.0,33.555557,0.08,37.7,7.3,0.0,2017,6,22
30.925184,-3.8455977,998.0,36.61111,0.0,35.6,8.9,0.0,2014,8,13
32.312244,-6.68774,3828.0,39.166668,0.0,42.0,10.8,1.0,2016,7,19
33.368717,-7.749362,6693.0,13.722222,0.0,49.8,5.2,1.0,2021,4,4
31.585575,-8.504401,1234.0,27.166666,0.0,58.9,4.6,1.0,2015,6,22
34.598576,-2.3451433,1599.0,22.388891,0.0,61.4,6.9,1.0,2015,9,7
34.596283,-2.3460197,1545.0,24.722221,0.0,66.8,6.7,1.0,2021,9,2
34.991486,-5.0604224,3823.0,27.555555,0.0,67.8,6.0,0.0,2020,7,13
34.84605,-2.3152573,3244.0,21.333334,0.0,44.8,5.9,0.0,2019,10,9
28.735302,-10.112384,1552.0,17.833334,0.0,49.4,5.3,0.0,2016,3,31
30.218494,-9.152031,1837.0,16.944445,0.0,29.9,7.5,1.0,2016,3,14
34.165817,-5.43004,1960.0,24.222221,0.0,64.0,3.2,1.0,2019,9,6
33.66488,-5.458552,2644.0,27.833334,0.0,59.9,4.9,1.0,2017,7,12
33.448074,-5.990315,2807.0,20.0,0.0,49.4,6.0,1.0,2019,9,14
34.596313,-2.3485847,1485.0,24.11111,0.0,58.6,7.6,1.0,2014,9,9
34.745514,-2.3185923,2147.0,11.444444,0.0,44.0,2.7,1.0,2014,12,20
27.88434,-11.792456,1055.0,27.388891,0.0,61.7,8.6,0.0,2017,9,14
31.569798,-7.8993726,2568.0,14.722222,0.0,47.4,7.2,0.0,2014,2,23
34.596416,-2.3487225,2045.0,6.6666665,0.0,35.4,5.1,1.0,2015,1,26
35.065277,-4.9753647,5567.0,32.72222,0.0,60.2,5.2,1.0,2016,9,8
33.91195,-5.4978724,3052.0,15.666667,0.0,48.2,3.1,1.0,2015,11,17
30.935143,-9.747046,2158.0,16.666666,0.0,50.1,7.2,0.0,2017,12,15
31.017126,-4.3813424,989.0,18.444443,0.0,23.8,6.1,0.0,2020,4,3
34.277115,-5.6241994,2066.0,28.055555,0.0,53.5,3.3,1.0,2018,9,26
31.306168,-5.1128836,1258.0,11.5,0.0,26.7,3.5,0.0,2018,2,14
28.156153,-10.269422,1066.0,23.555555,0.0,63.0,10.2,0.0,2016,8,15
34.726704,-2.7194963,2636.0,23.500002,0.0,63.4,6.9,0.0,2013,9,11
34.595127,-2.345735,2216.0,17.555555,0.0,49.3,6.5,1.0,2016,5,2
